"decade","location","n"
1940,"Bangkok",1
1940,"Beijing",1
1940,"Brussels",9
1940,"Cairo",1
1940,"Canberra",1
1940,"Guangzhou",2
1940,"Jakarta",366
1940,"Kaliurang, Java",1
1940,"Karachi",1
1940,"London",20
1940,"Manila",4
1940,"Moscow",10
1940,"Nanking",7
1940,"New Delhi",6
1940,"New York",37
1940,"Paris",16
1940,"Rangoon",1
1940,"Saigon",1
1940,"Singapore",1
1940,"Spiridonovka",1
1940,"Taipei",1
1940,"The Hague",112
1940,"Warsaw",2
1940,"Washington",387
1950,"Athens",1
1950,"Baghdad",2
1950,"Baguio",3
1950,"Bangkok",10
1950,"Belgrade",2
1950,"Bermuda",1
1950,"Brussels",1
1950,"Budapest",1
1950,"Cairo",1
1950,"Canberra",8
1950,"Chequers, England",1
1950,"Colombo",12
1950,"Copenhagen",2
1950,"Denver",2
1950,"Geneva",39
1950,"Hong Kong",1
1950,"Honolulu",6
1950,"Jakarta",367
1950,"Jidda",1
1950,"Kaneohe",2
1950,"Karachi",5
1950,"Kuala Lumpur",1
1950,"Lima",1
1950,"Lisbon",1
1950,"London",37
1950,"Luxembourg",2
1950,"Manila",14
1950,"Moscow",2
1950,"Munsan",2
1950,"New Delhi",14
1950,"New York",65
1950,"Newport, Rhode Island",1
1950,"Paris",35
1950,"Pearl Harbor",2
1950,"Rangoon",4
1950,"Rome",1
1950,"Saigon",11
1950,"San Francisco",6
1950,"Seoul",1
1950,"Singapore",1
1950,"Taipei",9
1950,"Tehran",5
1950,"The Hague",20
1950,"Tokyo",14
1950,"Torquay",1
1950,"Utah",2
1950,"Vientiane",1
1950,"Wake Island",1
1950,"Warsaw",2
1950,"Washington",967
1950,"Wellington",1
1960,"Amman",1
1960,"Ankara",1
1960,"Athens",1
1960,"Baghdad",1
1960,"Bali",1
1960,"Bangkok",8
1960,"Brussels",2
1960,"Canberra",3
1960,"Geneva",6
1960,"Hong Kong",1
1960,"Istanbul",1
1960,"Jakarta",85
1960,"Karachi",2
1960,"Kuala Lumpur",2
1960,"London",1
1960,"Manila",4
1960,"Medan, Indonesia",1
1960,"Melbourne",1
1960,"Moscow",4
1960,"New Delhi",6
1960,"New York",30
1960,"Ottawa",2
1960,"Paris",7
1960,"Phnom Penh",3
1960,"Rome",2
1960,"Saigon",5
1960,"San Clemente, CA",2
1960,"San Francisco",1
1960,"Seoul",1
1960,"Singapore",1
1960,"Taipei",3
1960,"Tehran",3
1960,"The Hague",3
1960,"Tokyo",1
1960,"Vienna",1
1960,"Vientiane",1
1960,"Warsaw",1
1960,"Washington",710
1970,"Ankara",1
1970,"Bali",1
1970,"Bangkok",14
1970,"Beijing",10
1970,"Belgrade",1
1970,"Brasilia",1
1970,"Camp David, Maryland",4
1970,"Canberra",3
1970,"Caracas",1
1970,"Dorado Beach, Puerto Rico",1
1970,"Geneva",1
1970,"Hong Kong",1
1970,"Honolulu",2
1970,"Isfahan",1
1970,"Islamabad",1
1970,"Jakarta",15
1970,"Jidda",1
1970,"Key Biscayne",2
1970,"Kingston",1
1970,"Kuala Lumpur",2
1970,"Kuwait",1
1970,"Los Angeles, California",2
1970,"Madrid",1
1970,"Moscow",1
1970,"New York",19
1970,"Oahu, Hawaii",1
1970,"Paris",15
1970,"Phnom Penh",2
1970,"Rabat",1
1970,"Riyadh",1
1970,"Rome",1
1970,"Saigon",6
1970,"San Clemente, CA",7
1970,"San Francisco",1
1970,"Santiago",3
1970,"Seoul",1
1970,"Singapore",1
1970,"Tehran",3
1970,"Tokyo",3
1970,"Washington",402
1980,"Brussels",1
1980,"Dacca",1
1980,"Honolulu",1
1980,"Kingston",1
1980,"Kuala Lumpur",1
1980,"Montreal",1
1980,"Moscow",2
1980,"New York",1
1980,"Singapore",1
1980,"Washington",31
