"title","location","date"
"The Acting Secretary of State to the Secretary of War (Stimson)","Washington",1945-06-28
"Memorandum by the Chief of the Division of Northern European Affairs (Cumming)","Washington",1945-10-08
"Memorandum of Conversation, by the Chief of the Division of Southeast Asian Affairs (Moffat)","Washington",1945-12-06
"Minutes of the First Formal Session of the Moscow Conference of Foreign Ministers","Spiridonovka",1945-12-16
"United States Delegation Minutes, First Formal Session, Conference of Foreign Ministers, Spiridonovka, Moscow, December 16, 1945, 5:00–7:10 p.m. 84","Moscow",1945-12-16
"United States Delegation Minutes, Third Formal Session, Conference of Foreign Ministers, Spiridonovka, Moscow, December 18, 1945, 4:00–7:15 p. m.29","Moscow",1945-12-18
"The Ambassador in the Netherlands (Hornbeck) to the Secretary of State","The Hague",1945-12-23
"The Consul General at Batavia (Foote) to the Secretary of State","Batavia",1945-12-23
"United Kingdom Delegation Record of a Conversation at the Kremlin, December 1945, 7 p.m.63","Moscow",1945-12-24
"Memorandum Prepared in the Department of State2","Washington",1945-12-26
"The Ambassador in the United Kingdom (Winant) to the Secretary of State","London",1945-12-29
"The Ambassador in the Netherlands (Hornbeck) to the Secretary of State","The Hague",1945-12-31
"The Counsul General at Batavia (Foote) to the Secretary of State","Batavia",1946-01-17
"Memorandum by the United States Representative at the United Nations (Stettinius) to the Secretary of State","London",1946-01-22
"Draft of Proposed Memorandum From the Deputy Director of the Office of Special Political Affairs (Ross) to the Secretary of State 17","Washington",1946-01-28
"The United States Representative at the United Nations (Stettiniuss) to the Secretary of State","London",1946-01-29
"Memorandum of Conversation, by the Director of the Office of Far Eastern Affairs (Vincent)","Washington",1946-02-07
"The United States Representative at the United Nations (Stettinius) to the Secretary of State","London",1946-02-07
"The Consul General at Batavia (Foote) to the Secretary of State47","Batavia",1946-02-08
"The Consul General at Batavia (Foote) to the Secretary of State","Batavia",1946-02-09
"The Consul General at Batavia (Foote) to the Secretary of State51","Batavia",1946-02-11
"President Truman to General Marshall","Washington",1946-02-13
"The Consul General at Batavia (Foote) to the Secretary of State53","Batavia",1946-02-14
"The Ambassador in Poland (Lane) to the Secretary of State","Warsaw",1946-02-19
"The Ambassador in Poland (Lane) to the Secretary of State","Warsaw",1946-02-26
"The Consul General at Batavia (Foote) to the Secretary of State55","Batavia",1946-03-06
"The Ambassador in the Netherlands (Hornbeck) to the Secretary of State","The Hague",1946-03-15
