"title","location","date"
"
                        Editorial Note
                    ",NA,NA
"
                                The Acting Secretary of
                                        State to the Secretary of War (Stimson)","
                                        Washington","June 28,
                                    1945"
"
                                Memorandum by the Chief of the Division of
                                    Northern European Affairs (Cumming)","Washington","October 8, 1945"
"
                                Memorandum of Conversation, by the Chief of the
                                    Division of Southeast Asian Affairs (Moffat)","Washington","December 6, 1945"
"
                        Minutes of the First Formal Session of the Moscow
                            Conference of Foreign Ministers
                    ","
                                Spiridonovka","December 16,
                            1945"
"
                        United States Delegation Minutes, First Formal Session,
                            Conference of Foreign Ministers, Spiridonovka, Moscow, December 16,
                            1945, 5:00–7:10 p.m.
                        84
                    ","Moscow","December 16, 1945, 5:00–7:10 p.m."
"
                        United States Delegation Minutes, Third Formal Session,
                            Conference of Foreign Ministers, Spiridonovka, Moscow, December 18,
                            1945, 4:00–7:15 p. m.29
                    ","Moscow","December 18, 1945, 4:00–7:15 p.m."
"
                                The Ambassador in the Netherlands (Hornbeck) to the Secretary of State
                                
                            ","
                                        The Hague","December 23,
                                        1945"
"
                                The Consul General at Batavia (Foote) to the Secretary of State
                                
                            ","
                                        Batavia","December 23, 1945—11 p.m."
"
                        United Kingdom Delegation Record of a Conversation at the
                            Kremlin, December 1945, 7 p.m.63
                    ","Moscow","December 24, 1945, 7 p.m."
"
                                Mr. Soetan
                                        Sjahrir to President Truman
                                
                            ","
                                        Batavia","Christmas Day,
                                        1945"
"Memorandum Prepared in the Department of
                                State2","Washington","December 26, 1945"
"
                                The Ambassador in the United Kingdom
                                    (Winant)
                                    to the Secretary of
                                        State
                                
                            ","
                                        London","December 29,
                                        1945"
"
                                The Ambassador in the Netherlands (Hornbeck) to the Secretary of State
                                
                            ","
                                        The Hague","December 31, 1945—4 p.m."
"The Counsul General at Batavia (Foote) to the Secretary of
                                State","Batavia","January
                                    17, 1946—10 p.m."
"
                            Memorandum by the United States Representative at the
                                United Nations (Stettinius) to the Secretary of State
                            
                        ","London","January 22, 1946"
"
                        Draft of Proposed Memorandum From the Deputy Director of
                            the Office of Special Political Affairs (Ross) to the Secretary of State
                        
                        17
                    ","Washington","January 28, 1946"
"
                            The United States Representative at the United
                                Nations (Stettiniuss) to the Secretary of State
                            
                        ","
                                    London","January
                                    29, 1946—2 p.m."
"Memorandum of Conversation, by the Director of the
                                Office of Far Eastern Affairs (Vincent)","Washington","February 7, 1946"
"
                            The United States Representative at the United
                                Nations (Stettinius) to the Secretary of State
                            
                        ","
                                    London","February
                                    7, 1946—4 p.m."
"The Consul General at Batavia (Foote) to the Secretary of
                                State47","Batavia","February
                                    8, 1946—10 a.m."
"The Consul General at Batavia (Foote) to the Secretary of
                                State","Batavia","February
                                    9, 1946—noon"
"The Consul General at Batavia (Foote) to the Secretary of
                                State51","Batavia","February
                                    11, 1946—midnight"
"President Truman to
                                General Marshall","Washington","13 February 1946"
"The Consul General at Batavia (Foote) to the Secretary of
                                State53","Batavia","February
                                    14, 1946—midnight"
"The Ambassador in Poland (Lane) to
                                the Secretary of State","Warsaw","February 19,
                                1946—noon."
"The Ambassador in Poland (Lane) to
                                the Secretary of State","Warsaw","February 26, 1946—4
                                p.m."
"The Consul General at Batavia (Foote) to the Secretary of
                                State55","Batavia","March 6,
                                    1946—11 p.m."
"The Ambassador in the Netherlands (Hornbeck) to the Secretary of
                                State","The
                                        Hague","March 15,
                                    1946—5 p.m."
"
                        Memorandum by the Associate Chief of the Division of
                            International Security Affairs (Bancroft) to Certain
                                Officers of the Division
                        
                        34
                    ","Washington","March 20, 1946"
"
                        Memorandum Prepared in the Office of Special Political
                            Affairs
                        36
                    ","Washington","March 20, 1946"
"The Consul General at Batavia (Foote) to the Secretary of
                                State59","Batavia","March 21,
                                    1946—11 p.m."
"The Consul General at Batavia (Foote) to the Secretary of
                                State","Batavia","March 28,
                                    1946—9 p.m."
"The Consul General at Batavia (Foote) to the Secretary of
                                State62","Batavia","March 31,
                                    1946—11 p.m."
"The Ambassador in the Netherlands (Hornbeck) to the Secretary of
                                State71","The
                                        Hague","May 3, 1946"
"United States Delegation Record, Council of Foreign
                            Ministers, Second Session, Second Informal Meeting, Paris, May 6, 1946,
                            11 a.m.","Paris","May
                            6, 1946, 11 a.m."
"The Secretary of State to
                                the Chairman of the House Committee on Foreign Affairs
                                (Bloom)","Washington","May 24, 1946"
"The Counselor of Embassy in China (Smyth) to the Secretary of
                                State","Nanking","June 18,
                                    1946—5 p.m."
"The Acting Secretary of
                                    State to the Ambassador in the United Kingdom
                                (Harriman)","Washington","June 27,
                                    1946—6 p.m."
"The Ambassador in the Netherlands (Hornbeck) to the Secretary of
                                State","The
                                        Hague","July 17,
                                    1946—6 p.m."
"The Ambassador in the Soviet Union (Smith) to the Secretary of
                                State","Moscow","July 23, 1946—6 p.m."
"The Consul General at Batavia (Foote) to the Secretary of
                                State","Batavia","July 24,
                                    1946—6 p.m."
"The Consul General at Batavia (Foote) to the Secretary of
                                State","Batavia","July 25,
                                    1946—3 p.m."
"The Acting Secretary of
                                    State to the Ambassador in the Netherlands
                                (Hornbeck)","Washington","August 5,
                                    1946—6 p.m."
"The Acting Secretary of
                                    State to the Consul General at Batavia (Foote)","Washington","August 9,
                                    1946—6 p.m."
"The Acting Secretary of
                                    State to the Consul General at Batavia (Foote)","Washington","August 9,
                                    1946—7 p.m."
"The Consul General at Batavia (Foote) to the Secretary of
                                State","Batavia","October 21, 1946"
"
                            The Chargé in the Soviet Union (Durbrow) to the Secretary of State
                            
                        ","
                                    Moscow","November
                                    2, 1946—1 p.m."
"
                                Editorial Note
                            ",NA,NA
"
                            Editorial Note
                        ",NA,NA
"
                            Editorial Note
                        ",NA,NA
"The Consul General at Batavia (Foote) to the Secretary of
                                State","Batavia","November
                                    13, 1946—9 a.m."
"The Acting Secretary of
                                    State to the Ambassador in the Netherlands
                                (Hornbeck)","Washington","November
                                    19, 1946—6 p.m."
"Memorandum Prepared for the Acting Secretary of
                                State31","Washington","November 27, 1946"
"Memorandum of Conversation, by the Acting Secretary
                                of State","Washington","November 27, 1946"
"The Consul General at Batavia (Foote) to the Secretary of
                                State","Batavia","December
                                    2, 1946—11 p.m."
