"title","location","date","lat","long","region"
"The Acting Secretary of State to the Secretary of War (Stimson)","Washington","1945-06-28",38.8948932,-77.0365529,"North America"
"Memorandum by the Chief of the Division of Northern European Affairs (Cumming)","Washington","1945-10-08",38.8948932,-77.0365529,"North America"
"Memorandum of Conversation, by the Chief of the Division of Southeast Asian Affairs (Moffat)","Washington","1945-12-06",38.8948932,-77.0365529,"North America"
"Minutes of the First Formal Session of the Moscow Conference of Foreign Ministers","Spiridonovka","1945-12-16",54.4625994,52.0642293,"Asia and Pacific"
"United States Delegation Minutes, First Formal Session, Conference of Foreign Ministers, Spiridonovka, Moscow, December 16, 1945, 5:00–7:10 p.m. 84","Moscow","1945-12-16",55.7504461,37.6174943,"Asia and Pacific"
"United States Delegation Minutes, Third Formal Session, Conference of Foreign Ministers, Spiridonovka, Moscow, December 18, 1945, 4:00–7:15 p. m.29","Moscow","1945-12-18",55.7504461,37.6174943,"Asia and Pacific"
"The Ambassador in the Netherlands (Hornbeck) to the Secretary of State","The Hague","1945-12-23",52.07494555,4.26968022053645,"Europe"
"The Consul General at Batavia (Foote) to the Secretary of State","Jakarta","1945-12-23",-6.1753942,106.827183,"Asia and Pacific"
"United Kingdom Delegation Record of a Conversation at the Kremlin, December 1945, 7 p.m.63","Moscow","1945-12-24",55.7504461,37.6174943,"Asia and Pacific"
"Memorandum Prepared in the Department of State2","Washington","1945-12-26",38.8948932,-77.0365529,"North America"
"The Ambassador in the United Kingdom (Winant) to the Secretary of State","London","1945-12-29",51.5073219,-0.1276474,"Europe"
"The Ambassador in the Netherlands (Hornbeck) to the Secretary of State","The Hague","1945-12-31",52.07494555,4.26968022053645,"Europe"
"The Counsul General at Batavia (Foote) to the Secretary of State","Jakarta","1946-01-17",-6.1753942,106.827183,"Asia and Pacific"
"Memorandum by the United States Representative at the United Nations (Stettinius) to the Secretary of State","London","1946-01-22",51.5073219,-0.1276474,"Europe"
"Draft of Proposed Memorandum From the Deputy Director of the Office of Special Political Affairs (Ross) to the Secretary of State 17","Washington","1946-01-28",38.8948932,-77.0365529,"North America"
"The United States Representative at the United Nations (Stettiniuss) to the Secretary of State","London","1946-01-29",51.5073219,-0.1276474,"Europe"
"Memorandum of Conversation, by the Director of the Office of Far Eastern Affairs (Vincent)","Washington","1946-02-07",38.8948932,-77.0365529,"North America"
"The United States Representative at the United Nations (Stettinius) to the Secretary of State","London","1946-02-07",51.5073219,-0.1276474,"Europe"
"The Consul General at Batavia (Foote) to the Secretary of State47","Jakarta","1946-02-08",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Foote) to the Secretary of State","Jakarta","1946-02-09",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Foote) to the Secretary of State51","Jakarta","1946-02-11",-6.1753942,106.827183,"Asia and Pacific"
"President Truman to General Marshall","Washington","1946-02-13",38.8948932,-77.0365529,"North America"
"The Consul General at Batavia (Foote) to the Secretary of State53","Jakarta","1946-02-14",-6.1753942,106.827183,"Asia and Pacific"
"The Ambassador in Poland (Lane) to the Secretary of State","Warsaw","1946-02-19",52.2319237,21.0067265,"Europe"
"The Ambassador in Poland (Lane) to the Secretary of State","Warsaw","1946-02-26",52.2319237,21.0067265,"Europe"
"The Consul General at Batavia (Foote) to the Secretary of State55","Jakarta","1946-03-06",-6.1753942,106.827183,"Asia and Pacific"
